French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
ville,city
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
affaire,case
donné,given
train,train
corps,body
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
sois,be
tiens,here
matin,morning
enfant,child
devant,in front of
vers,towards
minutes,minutes
demandé,request
belle,beautiful
droit,law
mari,husband
cause,cause
enfin,finally
eau,water
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
donne,given
loin,far
fin,end
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
